Predict,Label
pine tree,mountain
cloud,sea
orchid,tulip
bear,butterfly
dolphin,skunk
elephant,wolf
rabbit,dinosaur
apple,plate
whale,turtle
oak tree,palm tree
squirrel,porcupine
butterfly,cockroach
tractor,lawn mower
bear,skunk
woman,beaver
boy,flatfish
dolphin,rocket
bear,camel
apple,beetle
woman,girl
poppy,sunflower
squirrel,porcupine
tractor,train
rose,ray
whale,flatfish
woman,flatfish
boy,snail
road,forest
woman,boy
cloud,ray
squirrel,caterpillar
dolphin,crocodile
snake,skunk
orchid,crab
oak tree,maple tree
dolphin,whale
oak tree,pine tree
seal,sea
orange,pear
rabbit,cattle
rose,tulip
mountain,mouse
woman,man
bear,shrew
bear,forest
camel,possum
bear,beaver
beetle,cockroach
pickup truck,couch
bridge,caterpillar
forest,pine tree
wardrobe,chair
woman,cockroach
squirrel,beaver
clock,television
cup,bowl
oak tree,maple tree
apple,worm
apple,sweet pepper
bear,beaver
apple,sweet pepper
dolphin,shark
mushroom,possum
woman,squirrel
wolf,cup
beetle,cockroach
beetle,cockroach
rabbit,porcupine
