Predict,Label
bear,forest
cloud,sea
orchid,tulip
bear,butterfly
whale,skunk
elephant,wolf
bear,skunk
rabbit,dinosaur
bowl,plate
snail,turtle
forest,palm tree
squirrel,porcupine
butterfly,cockroach
tractor,lawn mower
bear,skunk
man,beaver
boy,flatfish
dolphin,rocket
elephant,camel
apple,beetle
woman,girl
poppy,sunflower
squirrel,porcupine
tractor,train
woman,ray
whale,flatfish
woman,flatfish
boy,snail
road,forest
woman,boy
dolphin,ray
squirrel,caterpillar
dolphin,crocodile
bear,chimpanzee
snake,skunk
poppy,crab
oak tree,maple tree
dolphin,whale
oak tree,pine tree
seal,sea
apple,pear
wolf,cattle
rose,tulip
road,mouse
woman,man
bear,shrew
bear,forest
camel,possum
bear,beaver
seal,cockroach
pickup truck,couch
bridge,caterpillar
mountain,pine tree
wardrobe,chair
woman,cockroach
squirrel,beaver
clock,television
lamp,bowl
oak tree,maple tree
apple,worm
apple,sweet pepper
bear,beaver
apple,sweet pepper
dolphin,shark
mushroom,possum
rabbit,squirrel
wolf,cup
beetle,cockroach
beetle,cockroach
rabbit,porcupine
cattle,plain
rocket,shark
forest,pine tree
bus,streetcar
cloud,crocodile
man,skyscraper
apple,snail
road,bridge
otter,caterpillar
house,skyscraper
squirrel,spider
oak tree,maple tree
bear,flatfish
beetle,cockroach
girl,boy
bear,beaver
apple,keyboard
cup,can
woman,road
lion,leopard
woman,skyscraper
seal,otter
butterfly,trout
bee,aquarium fish
snake,worm
house,willow tree
apple,sweet pepper
house,leopard
apple,caterpillar
chimpanzee,raccoon
mushroom,snake
chimpanzee,raccoon
bear,kangaroo
fox,leopard
orange,tulip
bear,crocodile
turtle,lizard
forest,willow tree
bus,can
shark,ray
forest,willow tree
snail,beetle
lobster,snail
rose,caterpillar
mushroom,leopard
woman,lion
bear,elephant
lion,camel
bear,bowl
orange,flatfish
woman,cattle
ray,lobster
wolf,fox
mushroom,lamp
apple,bowl
rabbit,fox
forest,willow tree
mushroom,raccoon
possum,porcupine
orchid,tulip
bottle,train
house,television
mushroom,crab
snake,crocodile
hamster,rabbit
lion,crocodile
