Predict,Label
cloud,sea
orchid,tulip
bear,butterfly
dolphin,skunk
elephant,wolf
bear,skunk
rabbit,dinosaur
bowl,plate
snail,turtle
oak tree,palm tree
squirrel,porcupine
butterfly,cockroach
tractor,lawn mower
bear,skunk
woman,beaver
boy,flatfish
dolphin,rocket
elephant,camel
kangaroo,rabbit
apple,beetle
woman,girl
poppy,sunflower
squirrel,porcupine
tractor,train
woman,ray
whale,flatfish
woman,flatfish
boy,snail
road,forest
woman,boy
cloud,ray
squirrel,caterpillar
dolphin,crocodile
snake,skunk
boy,girl
sunflower,crab
oak tree,maple tree
dolphin,whale
oak tree,pine tree
seal,sea
orange,pear
wolf,cattle
rose,tulip
road,mouse
woman,man
man,shrew
bear,forest
camel,possum
bear,beaver
seal,cockroach
tank,couch
bridge,caterpillar
mountain,pine tree
bear,raccoon
wardrobe,chair
bee,cockroach
squirrel,beaver
clock,television
cup,bowl
oak tree,maple tree
apple,worm
apple,sweet pepper
bear,beaver
apple,sweet pepper
dolphin,shark
mushroom,possum
bear,squirrel
wolf,cup
man,woman
beetle,cockroach
beetle,cockroach
rabbit,porcupine
cattle,plain
plain,shark
forest,pine tree
bus,streetcar
cloud,crocodile
boy,skyscraper
apple,snail
road,bridge
otter,caterpillar
house,skyscraper
bear,spider
orange,sea
oak tree,maple tree
bear,flatfish
beetle,cockroach
girl,boy
bear,beaver
apple,keyboard
cup,can
woman,road
lion,leopard
woman,skyscraper
seal,otter
butterfly,trout
bee,aquarium fish
snake,worm
house,willow tree
apple,sweet pepper
house,leopard
bear,caterpillar
chimpanzee,raccoon
mushroom,snake
chimpanzee,raccoon
bear,kangaroo
fox,leopard
orange,tulip
bear,crocodile
turtle,lizard
house,willow tree
bottle,can
cloud,ray
forest,willow tree
bee,beetle
lobster,snail
maple tree,caterpillar
mushroom,leopard
woman,lion
bear,elephant
trout,turtle
apple,bowl
orange,flatfish
man,cattle
ray,lobster
wolf,fox
shark,whale
apple,bowl
rabbit,fox
forest,willow tree
bear,raccoon
possum,porcupine
orchid,tulip
table,train
house,television
mushroom,crab
bear,chimpanzee
snake,crocodile
hamster,rabbit
otter,seal
lion,crocodile
